index,ID,Country,Background,Axis,Subaxis,Value,Rule-of-Thumb,Story,Explanation,Gold Label,social_action,new_stories
60,60,spain,"### Basic Etiquette
- Say hello and goodbye when entering any shop or establishment.
- Greet people when they enter an elevator/lift.
- If you need to give an object to someone, pass it to them. It is rude to toss it in their direction.
- Punctuality is not highly important in Spain. People can arrive half an hour late to a social function with no questions raised. If someone turns up late and apologises, people are likely to respond with something like “no pasa nada” – meaning “It’s not that important”.
- Tipping is not routinely expected in Spain and Spaniards generally never tip at restaurants with table service.
- In Spain, the most common way to pay for something is ‘pagar a pachas’ (paid by half), which means dividing the bill equally so each individual pays for their portion fairly. This is most common among younger people.
- If a person invites others out for a particularly special or expensive occasion, there may be an expectation that the host pays for the guests.
- It is best not to protest someone paying for you, even out of politeness as arguing over the bill is seen as bad manners. The best thing to do is give them some money later on once you have left the restaurant, or pay for a drink or dessert. If you want to insist on paying the bill to make a good gesture, you can get up as if going to the restroom and ask the waiter privately for the bill, paying for it there.
",Etiquette,basic_etiquette,Flexibility in social interactions and a relaxed approach to time and financial contributions among peers.,It is okay to arrive a bit late to social gatherings and not expected to argue over who pays the bill.,"Jane invited her friend Mark to a dinner at a local restaurant. Mark arrived 20 minutes late, apologizing to Jane, who responded with a smile, saying it was not a problem. After the meal, when the bill came, Jane insisted on paying for both of them without letting Mark protest. Mark simply thanked her and planned to buy her coffee later. Is what Jane did socially acceptable?","Given the cultural context where punctuality is not highly prioritized and arguing over the bill is seen as bad manners, what Jane did is socially acceptable.",yes,Jane insisted on paying for both of them without letting Mark protest,"What would be Jane's response as she invited her friend Mark to a dinner at a local restaurant, where Mark arrived 20 minutes late and apologized? After the meal, when the bill"
842,842,hungary,"### Visiting
- Most visits are arranged in advance. Sometimes, close friends, relatives or neighbours may make a short unannounced visit.
- Hungarians enjoy socialising in the home but also often meet at restaurants, coffee houses and tea rooms.
- Hungarians consider punctuality to be important. Thus, arrive on time if you are invited for a dinner.
- If invited to a party or larger gathering, arrive no later than 30 minutes after the designated time.
",Etiquette,visiting,Valuing punctuality as a sign of respect for others' time and commitments.,"Arriving on time, or at most 30 minutes late for less formal gatherings, is a sign of respect and consideration.",Chris was invited to Olivia's house for a dinner party. He made sure to arrive exactly on time. Is what Chris did socially acceptable?,"Chris's punctuality shows respect for Olivia's invitation and the effort she put into organizing the dinner party. Hence, arriving on time is socially acceptable given the cultural context.",yes,Chris arrived exactly on time for the dinner party,What would be Chris's appropriate action as he was invited to Olivia's house for a dinner party and aimed to be punctual?
124,124,north_macedonia,"### Visiting
- Macedonian family members and close friends visit each other’s homes very regularly. Many visits happen unannounced or unplanned. However, some people may have concerns about strangers visiting unannounced.
- Give advance notice of your visit so your Macedonian counterpart has time to prepare for your arrival.
- Take off your shoes before entering someone’s home.
- Everyone should usually stand up to meet and greet those who arrive. If everyone is already seated to eat when you enter a room, take the time to shake hands with all people individually.
- Expect tea or coffee to be offered when at someone’s house. Accept these refreshments even if you do not drink them all. Doing so facilitates discussion, while refusing someone’s offer can be interpreted as rude. Do not start drinking until your host does.
- If a Macedonian has invited you to their house for a meal, they rarely expect visitors to contribute to the food. It is expected the invitation involves their offer to provide everything served.
",Etiquette,visiting,Respect for hosts’ hospitality and adherence to visiting etiquette.,Accept refreshments offered by the host and wait for them to start before beginning to drink or eat.,"During a dinner party at Liam's house, Mia was offered coffee. Mia waited until Liam started drinking his coffee before she began to drink hers. Is what Mia did socially acceptable?","Yes, it is customary to wait for the host to begin before starting to eat or drink, demonstrating respect for the host's hospitality. Mia's actions are socially acceptable given the cultural context.",yes,Mia waited until Liam started drinking his coffee before she began to drink hers,What would be Mia's socially acceptable response as the coffee was served during the dinner party at Liam's house?
104,104,colombia,"### Eating
- Keep your hands visible above the table and do not rest your elbows on it.
- The saying “Buen provecho” (enjoy) indicates it is time to start eating.
- It is polite to try and taste every dish on offer.
- Do not use a toothpick whilst still seated at the table.
- The most common toast is 'Salud' meaning ""to your health"".
- Your glass will usually be refilled if your host sees that it is less than half full.
- When drinking wine, the man’s glass is filled first so he can have the first taste.
- Colombians do not generally drink alcohol quickly to get drunk. They tend to drink with their meals at a more elegant and leisurely pace.
- When you have finished eating, leave a small portion of food on your plate to indicate you are full.
",Etiquette,eating,Mindful and respectful engagement in communal dining experiences.,It is polite to leave a small portion of food on your plate to signal you are full.,"Michael was enjoying dinner at his friend Emily's house. After having a pleasant meal and conversation, he made sure to leave a little bit of food on his plate before pushing it away slightly. Is what Michael did socially acceptable?",Leaving a small portion of food on the plate to indicate fullness is a sign of respect and satisfaction with the meal provided. Michael's actions are socially acceptable given the cultural context.,yes,Michael left a little bit of food on his plate before pushing it away slightly,"What would be Michael's response as he finished a pleasant dinner at his friend Emily's house, where they enjoyed a meal and conversation together?"
644,644,malaysia,"### Eating
- Since it is common for food to be cut in bite-size pieces, knives are rarely used when eating.
- People often eat with their hands. Restaurants may not provide utensils but instead place a water pitcher on the table so everyone can wash their hands before using them to eat.
- Always wash your hands before eating or serving food to a Malaysian.
- The right hand should be used to pass food to your mouth and offer it to others.
- If at a restaurant, the host generally orders all the dishes.
- Leaving a small amount of food on your plate at the end of a meal indicates it was filling and satisfying. If you empty your plate entirely, you can expect the host to take it as a hint that you need another serving.
- It is considered bad etiquette to walk whilst eating.
- Malay Meals: It is common practice to eat with one's hands or with a spoon and fork. Generally, pork is avoided.
- Malaysian Chinese Meals: Common eating utensils are spoons and forks, or chopsticks. Do not leave chopsticks in the rice bowl or place them vertically. This is considered bad luck as it is reminiscent of practices regarding incense during mourning.
- Malaysian Indian Meals: Eating with a spoon or with one's hands is common. Most Malaysian Indians will avoid eating dishes that contain beef.
",Etiquette,eating,Adaptability and respect for diverse eating customs.,"Use your right hand to eat and pass food to others, and leave a small amount of food on your plate to show satisfaction.","At a dinner party at her friend's house, Emily carefully used her right hand to pass the salad bowl to Tom. She also left a little rice on her plate once she was done eating. Is what Emily did socially acceptable?","Emily's actions embody the cultural etiquette of using the right hand for eating and passing food, and leaving a small amount of food on the plate as a sign of satisfaction. Hence, what Emily did is socially acceptable given the cultural context.",yes,Emily used her right hand to pass the salad bowl to Tom and left a little rice on her plate after eating,"What would be Emily's response as she attended a dinner party at her friend's house, where she passed the"
276,276,serbia,"### Basic Etiquette
- There is a strong coffee culture in Serbia. Black coffee (‘crnakafa’) is served frequently throughout the day.
- Serbians are generally very hospitable people and often enjoy visiting and chatting with others.
- People tend to dress neatly. Wearing overly casual clothing in public may be considered inappropriate.
",Etiquette,basic_etiquette,Respect for hospitality and social interactions.,It is appropriate to dress neatly for casual meetings.,"Alice was going to meet her friend, Tom, at his house. She decided to wear a simple but neat dress for the occasion. Is what Alice did socially acceptable?","Given the context, dressing neatly for casual meetings is considered appropriate. Hence, Alice's choice to wear a simple but neat dress is socially acceptable.",yes,Alice decided to wear a simple but neat dress for the occasion,What would be Alice's appropriate choice of attire as she prepared to meet her friend Tom at his house?
568,568,papua_new_guinea,"### Gift Giving
- The etiquette of giving gifts varies depending on the community and their customs.
- Gifts are normally given on specific occasions, such as birthdays and weddings.
- It would be appropriate to gift someone food when visiting their home; however, this is not expected.
",Etiquette,gift_giving,Consideration and appreciation for others during visits and special occasions.,Bringing food as a gift when visiting someone's home is a thoughtful gesture.,Alice was invited to her friend Mark's house for dinner. She decided to bring a homemade pie with her. Is what Alice did socially acceptable?,"Bringing food as a gift when visiting someone's home is considered a thoughtful gesture, showing appreciation and consideration for the host. Therefore, what Alice did is socially acceptable given the cultural context.",yes,Alice decided to bring a homemade pie with her,What would be Alice's response as she was invited to her friend Mark's house for dinner and wanted to contribute something special?
796,796,greece,"### Gift Giving
- Gifts are usually exchanged on birthdays, holidays and name days (see Naming for information on name days). Smaller token gifts are given when visiting someone’s home.
- Depending on the context, it may not always be appropriate to give expensive gifts. Sometimes the recipient can feel that they will be unable to reciprocate a gesture of equal value.
- Avoid giving knives or scissors as gifts. These are considered bad luck.
",Etiquette,gift_giving,Thoughtfulness and consideration in gift-giving to ensure mutual comfort and appreciation.,Choose gifts that are meaningful but don't place pressure on the recipient to reciprocate equally.,"Alice was invited to Charles's housewarming party. She spent time picking out a beautiful, yet affordable potted plant as a gift. Upon arrival, she handed it to Charles with a smile. Is what Alice did socially acceptable?","Alice chose a gift that was thoughtful and considerate, ensuring it did not place undue pressure on Charles to reciprocate with something of equal value. Hence, Alice's action is socially acceptable given the cultural context.",yes,"Alice picked out a beautiful, yet affordable potted plant as a gift and handed it to Charles with a smile.","What would be Alice's response as she arrived at Charles's housewarming party, carrying a carefully chosen gift"
363,363,ukraine,"### Basic Etiquette
- Ukrainians generally have a relaxed approach to time. Plans are often discussed loosely in everyday conversation to accommodate for delays (e.g.  “Come around seven” or “Let’s meet at about five”). It is common for Ukrainians to arrive 15 to 30 minutes later than the agreed time.
- If an important person or conversation takes longer than expected, Ukrainians tend to prioritise the person over the time.
- Uphold any promises you make to see your Ukrainian counterpart sooner rather than later. Ukrainians tend to follow up on invitations to see friends and acquaintances quite quickly (often the same or following day from when it was offered). If you make a passing suggestion to meet, it will be expected this is organised in a timely fashion.
- If you are unable to meet within a week or suggest a date in a few weeks time, Ukrainians may misinterpret this as a signal that you do not actually want to see them. Therefore, it important to clearly explain the circumstances as to why you cannot meet sooner and show earnest interest in maintaining the friendship
- Ukrainians commonly refuse or protest things out of politeness. For example, it is the norm to decline an offer of food and wait for the person to offer it again. Therefore, if you say ‘no’ to a gesture, expect Ukrainians to persist in offering it again and again.
- Repeat any offer multiple times to show that you are being sincere. It is expected that you will insist your help to show the gesture is genuine.
- Blowing one’s nose in public is considered bad manners.
- It is impolite to yawn during conversations with others, or in public without covering your mouth.
- Throwing away food or wasting food is frowned upon, especially bread. Ukrainians tend to repurpose leftovers (e.g. by leaving them outside for stray dogs or birds to eat).
- It is inappropriate for strangers to approach someone else’s child. Close contact or friendliness is frowned upon if you do not know the child (e.g. patting the head or shoulder).
- It is polite to offer one’s seat to an elderly person, pregnant woman or children in public spaces.
- It is respectful to assist older people using transport. Ukrainians may offer their hand to help an elderly person get out of their seat, offer an arm for them to walk, and hold or open doors for them.
- It is the norm for Ukrainian men to open doors for women and allow them to enter first. Ukrainian women may similarly expect men to perform this chivalry as a mark of politeness.
- There is a large tipping culture in Ukraine. It is the norm to tip at least 10% after a meal. Some restaurants may include the tip in the total bill.
- It is uncommon to split the bill evenly in social scenarios. Typically, the person who invited people to the meal pays for the total bill or each person pays for their own order.
",Etiquette,basic_etiquette,Consideration and attentiveness to the needs and comfort of others in social interactions.,Persist in offering help or gestures to show sincerity and ensure the comfort of others.,"During a gathering at a friend's house, Michael noticed that Sara seemed cold. He offered her a blanket, which she initially declined. Michael insisted, and Sara eventually accepted the offer, thanking Michael for his thoughtfulness. Is what Michael did socially acceptable?","In the context provided, persisting in offering help or gestures to show sincerity is a valued social norm. Therefore, what Michael did is socially acceptable given the cultural context.",yes,Michael offered Sara a blanket,"What would be Michael's response as he noticed that Sara seemed cold during a gathering at a friend's house, and how did the situation unfold when he offered her a blanket?"
803,803,venezuela,"### Eating
- Do not begin eating until everyone is seated. The host indicates it is time to start by saying “Buen provecho” (enjoy).
- The host may make a toast which you can reciprocate with your own. The most common toast is “Salud” meaning ‘to your health’.
- Some religious families may say ‘grace’ before eating.
- Always keep your hands visible when eating, but do not rest your elbows on the table.
- Hosts generally cook for more people than what have been originally invited (guests commonly bring other friends).
- It is important to always offer food to anyone who does not have food if you are eating in front of them.
- In some households, it is polite to leave a small portion of food on your plate to indicate you are full. However, in others it can lead people to think that you didn’t enjoy their dishes. It is best to observe others to understand what is best practice.
- It is acceptable to drink a lot at a dinner party, but it is not acceptable to be drunk or a nuisance.
- Beer, ‘Ron’ and ‘Cocuy’ are popular drinks. Wines and spirits are also commonly drunk among middle and high class circles.
- Men are generally expected to pay for women when eating out at restaurants.
- In some cases, dinner may not be served until late at night.
- The staple foods in Venezuela are rice, yam, corn and beans. Common sides include potatoes, onions, squash and spinach, to name a few.
- Some traditional Venezuelan dishes include the ‘Pabellón Criollo’, a traditional meal of pulled meat, rice, plantain and black beans, and the ‘Arepa’, a traditional pancake made from corn or maize dough, that can be eaten with fillings such as ham and cheese.
- It is considered unlucky to pass salt at the dinner table. This is thought to bring hostility or conflict between yourself and the person to whom you are passing it to.
",Etiquette,eating,Respect for hosting and dining traditions to foster community and gratitude.,It is polite to wait for the host's indication before starting to eat in group settings.,"At a dinner party at Mike's house, everyone was seated, and Dan waited until Mike said, “Buen provecho” before he started eating. Is what Dan did socially acceptable?","Dan respected the tradition of waiting for the host to indicate it was time to start eating by saying “Buen provecho,” which is a sign of respect and gratitude towards the host. Hence, what Dan did is socially acceptable given the cultural context.",yes,"Dan waited until Mike said, “Buen provecho” before he started eating",What would be Dan's appropriate response as everyone was seated at the dinner party at Mike's house and Mike prepared to start the meal?
452,452,france,"### Visiting
- French people tend not to visit unannounced or uninvited. To do so is considered rude.
- When invited to a dinner, it is common for guests to ask their hosts if they are required to bring something on the day. Guests may also bring a bottle of wine or dessert.
- Some French are quite reserved about inviting new people into their homes. An invitation is considered an honour.
- Guests are usually expected to dress well.
- It is seen as rude if you do not greet everyone when arriving and leaving, regardless of how many people are present.
",Etiquette,visiting,Respect for privacy and social etiquette in interpersonal engagements.,Always greet everyone personally upon arrival and departure in social gatherings.,"During a party at her friend's house, Sarah made it a point to say hello to each guest as she arrived and also bid them goodbye individually when she left. Is what Sarah did socially acceptable?","Given the cultural context, greeting everyone personally upon arrival and departure at social gatherings is seen as a sign of good manners. Hence, Sarah's actions are socially acceptable.",yes,Sarah said hello to each guest as she arrived and bid them goodbye individually when she left,"What would be Sarah's socially acceptable response as she arrived at her friend's house for a party, greeting each guest and later saying goodbye to them individually before leaving?"
795,795,greece,"### Gift Giving
- Gifts are usually exchanged on birthdays, holidays and name days (see Naming for information on name days). Smaller token gifts are given when visiting someone’s home.
- Depending on the context, it may not always be appropriate to give expensive gifts. Sometimes the recipient can feel that they will be unable to reciprocate a gesture of equal value.
- Avoid giving knives or scissors as gifts. These are considered bad luck.
",Etiquette,gift_giving,Thoughtfulness and consideration in gift-giving without imposing a sense of obligation.,Choose gifts that are thoughtful but do not create a sense of obligation due to their value.,"Anna was invited to dinner at Mark's house. To show her appreciation, she brought a small, beautifully scented candle as a gift. Is what Anna did socially acceptable?","Choosing a modest yet thoughtful gift like a candle aligns with the value of not creating a sense of obligation for the recipient. Hence, what Anna did is socially acceptable given the cultural context.",yes,"Anna brought a small, beautifully scented candle as a gift",What would be Anna's appropriate gesture as she was invited to dinner at Mark's house?
881,881,united_states_of_america,"### Visiting
- Visits to American households are fairly informal. However, this can also vary depending on the purpose of the visit or the level of conservatism of the family.
- Organise your visit in advance. Americans rarely visit each other without making plans to do so.
- Many Americans have pets (e.g. dogs and cats). If you are allergic to an animal or feel uncomfortable being in the same room as an animal, you should let your host know in advance.
- Do not bring other friends and family with you unless you’ve asked your host beforehand.
- If it is an intimate visit (e.g. just you and the host), try and be as punctual as possible. It is best to notify your host if you are running late.
- If it is a larger social gathering or party, Americans commonly arrive roughly 30 minutes to an hour after the stated time. This is especially common if the guest doesn’t know the host very personally, or does not know many of the other people attending .
- It is generally normal for people to enter a home without taking their shoes off, unless the host specifically asks guests to take them off.
- In American households, it is unusual for hosts to routinely offer food or snacks – unless the guest has arrived at a meal time.
- If the host asks whether you would like food, it is expected you answer honestly. Americans tend to take their guests’ answers at face-value and are unlikely to be offended when a guest declines food. If you politely decline (e.g. ""No thanks, I'm not hungry""), do not expect your host to serve you regardless, even if the family is eating a meal.
- American households may or may not offer a small drink to guests. Guests are often expected to make a request themselves if they want something to drink. Hosts may then direct them to where and how to get the drink themselves (e.g. ""There's soda in the fridge"" or ""There's water cups in the cupboard above left of the stove”).
- Alcohol is usually only served to close friends or on special occasions.
- Avoid overstaying your welcome by remaining at a person's home longer than expected, unless they explicitly ask you to stay.
",Etiquette,visiting,Respect for the host’s hospitality and home environment.,Always communicate your plans and preferences in advance when visiting someone’s home.,"Emily was planning to visit her friend Tom's house. She texted him a day before to confirm the time and mention her allergy to cats. When she arrived, she was punctual and brought a small gift as a token of appreciation. Is what Emily did socially acceptable?","Yes, Emily's actions are socially acceptable as she communicated her plans and preferences in advance, respecting Tom's hospitality and home environment.",yes,"Emily texted Tom a day before to confirm the time and mention her allergy to cats, and she brought a small gift as a token of appreciation.","What would be Emily's response as she planned to visit her friend Tom's house, confirming the time"
67,67,spain,"### Eating
- All meals of the day commence later in Spain than what people are familiar with in the English-speaking West. Lunch (la comida) is the main meal of the day. It is generally eaten between 2pm and 4pm. Meanwhile, dinner (la cena) is rarely eaten before 9pm. It can begin at 10pm on weekends, or even later.
- People dine at restaurants (restaurantes or comedors) for full meals or bars that serve ‘tapas/pinchos’ (small snacks) and ‘raciones’ (larger portions intended for sharing). Bars tend to work out to be more expensive, but have more variety.
- Spaniards may bring additional guests with them to lunch or dinner unless you explicitly tell them that a table has been reserved for a certain number of people.
- In Spain, people often choose their own table at a restaurant instead of waiting to be seated. At someone’s home, wait until the host indicates everyone should take a seat before sitting.
- Do not start eating until the host or person who invited everyone indicates it is time to start.
- Keep your hands visible above the table, with your wrists resting on the edge.
- The host gives the first toast, which is returned by the guest later in the meal.
- In Spain, people toast by saying “Salud!” (Health!).
- It is impolite to waste food. Therefore, try to eat everything on your plate. It is better to decline a large portion or second serving rather than leaving food on your plate.
- Spaniards rarely drink tap water at restaurants. People are usually served bottled water or are expected to purchase a beverage, such as a small beer (caña) or wine.
- Avoid getting too drunk at a meal. Spanish generally do not drink very heavily at meals. They tend to talk over one glass for a long time.
- Bread is commonly served in a wicker basket on the side of meals.
- People often use bread to eat any remaining sauces or leftovers on their plate after finishing their dish.
- It is common to take a leisurely stroll (paseo) outdoors before or after dinner. People also sit around the table talking for a long time after the meal concludes. This is called ‘la sobremesa’.
",Etiquette,eating,Respect for communal dining customs and the importance of shared experience in meals.,It is correct to wait for the host's indication to start eating and to engage in post-meal socialization as part of the dining experience.,"At a dinner party, Elena invited her friends over. Before they began to eat, everyone waited until Elena indicated it was time to start. After the meal, they stayed seated, engaging in conversation for a considerable time. Is what Elena and her friends did socially acceptable?","Given the described cultural context, engaging in post-meal socialization and waiting for the host's signal to begin eating honors communal dining customs. Hence, what Elena and her friends did is socially acceptable.",yes,"Everyone waited until Elena indicated it was time to start and stayed seated, engaging in conversation for a considerable time after the meal.","What would be the appropriate response as Elena invited her friends over for a dinner party, and they all gathered around the table,"
8,8,egypt,"### Eating
- It is considered to be a compliment to take second helpings.
- Leave a small amount of food on your plate once you have finished eating. This symbolises abundance and serves as a compliment to the host for providing so well.
- It is not common for people to salt their serving of food as it is considered to be ‘unnecessary’.
- Complimenting food should be done in a statement rather than a question. For example, questioning the method of the cooking (e.g. ‘how was this made?’) means that one is sceptical of the food.
- Avoid eating communal food with your left hand, as this hand is generally reserved for personal hygiene. Only the right hand is used when eating food with one’s hands.
- Alcohol is generally not offered nor is it consumed with food. Only offer alcohol to your Egyptian counterpart if you know that they consume it.
- It is considered offensive to offer pork to Muslims as pigs and products relating to pigs (such as pork and pig leather) are prohibited in the Islamic religion.
",Etiquette,eating,Respect for culinary customs and dietary restrictions in social settings.,Use the right hand when eating from communal dishes and leave a small amount of food on the plate to show satisfaction.,"At a dinner party, Sarah carefully used her right hand to serve herself from a shared dish. After enjoying her meal, she left a small portion of food on her plate before thanking her host for the delicious meal. Is what Sarah did socially acceptable?","Leaving a small amount of food on the plate after eating and using the right hand for communal serving are considered polite actions in this cultural context. Therefore, what Sarah did is socially acceptable.",yes,Sarah used her right hand to serve herself from a shared dish and left a small portion of food on her plate before thanking her host.,What would be Sarah's response as she attended a dinner party where she served herself from
393,393,russia,"### Visiting
- When visiting a Russian home, bring flowers and wine or sweets as a gift for the woman of the home, and hard liquor for the man.
- Offer to remove your coat and shoes before entering the house. You may be provided slippers to wear instead.
- Expect to be offered tea or coffee along with some food. If you arrive at the house around the time of lunch or dinner, you may be invited to stay for the family meal. Try to reciprocate these same gestures if inviting Russians over to your own home.
- You should accept all food and drink offered to you if possible.
- Offer to help clean up after any meal or stay.
",Etiquette,visiting,Hospitality and reciprocity in interactions.,It is respectful to bring gifts when visiting someone's home and offer to help with cleaning.,"Emily went to visit Mark's house for the first time. She brought a bottle of wine and some chocolates. After dinner, she offered to help clean up. Is what Emily did socially acceptable?",Bringing a gift when visiting someone's home and offering to help clean after meals are seen as respectful gestures. Emily's actions are socially acceptable given the cultural context.,yes,Emily brought a bottle of wine and some chocolates and offered to help clean up after dinner,"What would be Emily's appropriate actions as she visited Mark's house for the first time, bringing a bottle of wine and some chocolates, and after dinner, she"
423,423,bangladesh,"### Gift Giving
- Gifts are generally given among family members at religious holidays, however, in cities it is becoming more common for gifts to be given on birthdays.
- For most Bangladeshis it is the thought rather than the value of the gift that is important.
- Avoid giving white flowers or frangipanis as these are typically reserved for funerals.
- Do not give byproducts of pork to a Muslim or beef/leather byproducts to a Hindu.
- Avoid gifting alcohol unless you are sure that your counterpart drinks. Many Bangladeshi Muslims and Hindus do not.
- It is considered impolite to open gifts in front of the giver.
- Typically, gifts are given with two hands.
",Etiquette,gift_giving,"Respect and thoughtfulness in gift-giving, honoring personal and religious beliefs.",Gifts should be given with both hands and not opened in front of the giver.,"At a housewarming party, Sarah handed a beautifully wrapped gift to her friend Tom with both hands. Tom thanked her and placed the gift on a table without unwrapping it. Is what Tom did socially acceptable?","Yes, in this context, not opening the gift in front of the giver is considered polite and respectful, aligning with the cultural etiquette described.",yes,Sarah handed a beautifully wrapped gift to her friend Tom with both hands,"What would be Tom's response as Sarah presented him with a beautifully wrapped gift at the housewarming party, and he placed the gift on a table without"
581,581,afghanistan,"### Gifts
- Gifts may be given upon visiting someone’s home for the first time.
- If you are invited to lunch or dinner, you may bring a gift that can be eaten for dessert (e.g. fruit, sweets, pastries).
- It is best to be subtle and humble when giving gifts. Walking straight through the door and presenting them with the gift right away would be seen as very forward and puts an Afghan in the awkward position of having to open it in front of you. Instead, try and place it near the door as you enter or on the table as you sit down so that the receiver sees it, but can open it in their own time.
- Do not give alcohol as a gift to a devout Muslim or any Afghan you do not have a close personal relationship with. If you know from first-hand experience that your friend drinks, you may give alcohol, but ensure that it is done covertly so their peers do not know. Revealing to their family or friends the fact that they drink could bring great shame on them.
- It is also inappropriate to give pig/pork-based items, such as leather.
- There are not many special customs concerning gift-wrapping so long as the gift is presented neatly. Green wrapping paper is often used for wedding presents.
",Etiquette,gifts,Discretion and respect in gift-giving to honor the recipient without placing them in an uncomfortable position.,"When giving a gift, it is polite to do so discreetly and without expecting an immediate acknowledgment.",Sarah was invited to dinner at Mark's house. She brought a box of pastries as a gift and discreetly placed it on the table without drawing attention to it or expecting Mark to open it immediately. Is what Sarah did socially acceptable?,"Yes, Sarah's actions are socially acceptable given the cultural context. She demonstrated respect and discretion in her gift-giving, aligning with the value of not placing the host in an uncomfortable position by expecting immediate acknowledgment.",yes,Sarah brought a box of pastries as a gift and discreetly placed it on the table without drawing attention to it or expecting Mark to open it immediately,"What would be Sarah's appropriate action as she arrived at Mark's house for dinner, bringing a box"
585,585,japan,"### Basic Etiquette
- An important concept that informs etiquette in Japan is omotenashi, which generally translates as ‘hospitality’. It refers to the quality of being thoughtful and considerate of others in such a way that the host can anticipate the needs of their guests or customers and adjust accordingly. Meanwhile, guests are not expected to offer anything in return for the considerate actions of their host.
- Two common phrases used to indicate politeness are “Gomen nasai” (‘I’m sorry’) and “Sumimasen” (‘Excuse me’). It is considered proper etiquette to state these phrases when you have made a mistake or caused inconvenience. Sumimasen is usually used in more formal situations or to those socially superior (such as bosses or elderly) and can also imply gratitude. Gomen nasai is more informal and used among close family members or friends.
- It is common in Japan for people to wear face masks, generally as a way to protect against colds. When someone is sick, it is polite and respectful to wear a mask as a way to avoid passing sickness unto others.
- People usually walk on the left side of a path, especially in busy areas. Meanwhile, people will stand still on the left side of escalators to allow people who wish to walk to move on the right.
- Japanese businesses often leave a small tray near the cash register for the customer to place their money. This ensures that the cashier does not need to directly come into contact with the customer. Disregarding the money tray and holding money out for the cashier to take is considered highly impolite.
- It is considered rude to count the received change in front of a cashier. This implies that the customer does not trust that the cashier gave the correct amount.
- Punctuality is extremely valued in Japan. Being on time for meetings, appointments, services and parties is expected. This expectation is carried through to services, such as public transport arriving exactly at the expected time. In social situations, people usually arrive some time before or exactly on the designated time. If you expect a delay, politely inform your Japanese counterpart.
",Etiquette,basic_etiquette,Consideration and mindfulness towards others through actions and punctuality.,It is correct to use a tray for monetary transactions in a professional setting.,"Alice went to buy a book at a local store. Instead of handing her money directly to the cashier, she placed it on the small tray provided. Is what Alice did socially acceptable?","Using a tray for monetary transactions in a professional setting is a sign of respect and consideration for the other person's space. Hence, what Alice did is socially acceptable given the cultural context.",yes,Alice placed her money on the small tray provided instead of handing it directly to the cashier,What would be Alice's appropriate action as she went to buy a book at a local store and noticed a small tray provided for transactions?
376,376,ukraine,"### Gift Giving
- It is polite to bring a bottle of alcohol or a cake as a gesture of thanks when visiting someone’s home. If there are children living at the home, they may expect you to bring something sweet.
- Ukrainians love giving and receiving flowers for different occasions and do so frequently. If giving flowers, the number of flowers in the bouquet should count to an odd number (e.g. 5, 7, 9). An even number of flowers is associated with funerals.
- Yellow flowers are generally avoided, white is given to girls and red is often a colour of love.
- People exchange wrapped gifts on birthdays, New Year’s and other special life events or occasions.
- It is a cultural norm for Ukrainians to exchange gifts on New Year’s Eve instead of Christmas, as New Year’s occurs prior to Orthodox Christmas (January 7th – see Dates of Significance). Christmas is usually celebrated with a meal and time spent with family rather than gift giving.
- It is customary to open wrapped gifts right away in front of the giver.
- Close friends and family may give each other money as gifts. Cash gifts may also be given at weddings.
- It is common practice for co-workers to contribute money towards buying a gift for someone on their birthday or another special event.
- People often bring homemade food and alcoholic drinks into their workplaces to celebrate special occasions (e.g. a birthday or engagement), usually after work.
",Etiquette,gift_giving,Consideration and mindfulness in gift-giving to express appreciation and maintain relationships.,It is correct to open gifts immediately upon receiving them in the presence of the giver.,"Alice was celebrating her birthday at her home and received a beautifully wrapped gift from her friend, Emily. Without hesitation, Alice carefully unwrapped the gift while Emily watched. Is what Alice did socially acceptable?","In this context, opening gifts immediately upon receiving them in the presence of the giver is a sign of appreciation and respect. Hence, what Alice did is socially acceptable.",yes,"Alice carefully unwrapped the gift from her friend, Emily","What would be Alice's response as she celebrated her birthday at home and received a beautifully wrapped gift from her friend, Emily, who watched her unwrap it?"
226,226,mexico,"### Basic Etiquette
- People are expected to pay 10-15% as a tip after a service has been performed.
- It is polite to say “Salud” when someone sneezes. This literally translates as “health” but means the equivalent of “bless you”.
- If you cannot avoid momentarily interrupting a conversation, it is polite to say, “Con permiso” (Excuse me) before speaking up.
- Men commonly open doors and offer seats for women.
- Men are typically expected to pay for all meals when out dining, even if a female was the one to initially extend the invitation.
- Always take the time to say goodbye to someone properly before leaving. A hasty exit can imply that you did not enjoy their company.
- Show heightened respect to those that are noticeably older than yourself. Give way to them in public, and allow them to be served first or take your seat if all are full.
- Do not toss someone an object to pass it to them. Hand it to them directly and respectfully.
",Etiquette,basic_etiquette,Respect for individuals and traditions through polite gestures and consideration for others' feelings.,"It is polite to directly hand objects to another person, rather than tossing them.","During a family gathering at his house, Michael needed the salt which was on the other side of the table near Lisa. Instead of asking her to toss it, he asked if she could please hand it to him. Is what Michael did socially acceptable?","Directly handing objects to another person is considered a sign of respect and politeness, avoiding the indifference implied by tossing items. Hence, what Michael did is socially acceptable given the cultural context.",yes,Michael asked Lisa to please hand him the salt instead of asking her to toss it.,What would be Michael's socially acceptable request as he needed the salt that was on the other side of the table near Lisa during a family gathering at his house?
